PopSize;nbTaxa;minSp;maxSp;Simpson;Sorensen;Nestedness;SimpsonCorr;SorensenCorr;NestednessCorr
50;100;1;10;0.9611699445284921;0.9734207801173628;0.012250835588870634;0.4975202297050378;0.5943097997892519;0.09678957008421413
50;80;1;10;0.9589892294946147;0.969366442330007;0.01037721283539228;0.4832985386221294;0.5586465159823458;0.07534797736021642
50;60;1;10;0.9492293744333635;0.9656441717791411;0.016414797345777554;0.4278708622803433;0.5292535305985205;0.10138266831817722
50;40;1;10;0.9387412587412587;0.9615283267457181;0.0227870680044594;0.38002491224096935;0.4999314974654062;0.11990658522443687
60;100;1;10;0.9623493975903614;0.9765065194408552;0.014157121850493781;0.4600431965442765;0.5808006707189268;0.12075747417465033
60;80;1;10;0.9605485946495089;0.9732997192459749;0.01275112459646599;0.44799810471452256;0.5485516840507637;0.10055357933624115
60;60;1;10;0.955160744500846;0.9704042885861067;0.01524354408526074;0.4152261860978301;0.5222068633932327;0.10698067729540267
60;40;1;10;0.9498487501990129;0.9660651764072179;0.01621642620820496;0.3870005189413596;0.48690104520157457;0.09990052626021495
70;100;1;10;0.9673670093875727;0.9774386710450068;0.010071661657434117;0.458571731299004;0.5531361360704838;0.09456440477147982
70;80;1;10;0.9647177419354839;0.9764557494219046;0.011738007486420732;0.4385884509624198;0.5423234092235844;0.10373495826116458
70;60;1;10;0.9618843245452687;0.972926873525676;0.01104254898040724;0.4189513975431725;0.5066044331903475;0.08765303564717503
70;40;1;10;0.9569211669770329;0.970804762105086;0.01388359512805315;0.3882536644335869;0.48719572698292063;0.09894206254933374
80;100;1;10;0.9701696770662288;0.9797748639287481;0.009605186862519322;0.4484503478810879;0.5477334808616576;0.09928313298056973
80;80;1;10;0.969369038884813;0.9786322052331905;0.009263166348377538;0.44170497283744253;0.5337962801409778;0.09209130730353526
80;60;1;10;0.9659980210488441;0.9765479588038218;0.0105499377549777;0.4152906144862524;0.5100453661697991;0.09475475168354675
80;40;1;10;0.9605238540692236;0.9737660077085665;0.01324215363934289;0.3782230735229114;0.48131760078662733;0.10309452726371593
90;100;1;10;0.9737973929729372;0.9813506640293869;0.007553271056449651;0.45231582506070006;0.53903461120596;0.08671878614525991
90;80;1;10;0.9714635140644109;0.9801296305057482;0.008666116441337302;0.43068859569853607;0.5229320746144333;0.09224347891589718
90;60;1;10;0.9683975960564521;0.9783573806881243;0.00995978463167213;0.4051015508036496;0.5011370096645822;0.09603545886093257
90;40;1;10;0.9644635061652753;0.9765087079789389;0.01204520181366353;0.3762136647447196;0.4801832304321848;0.10396956568746518
100;100;1;10;0.9758802731631714;0.9824245632609846;0.00654429009781321;0.4472685298230815;0.5278457250127994;0.08057719518971784
100;80;1;10;0.9727332457293035;0.98222621953831;0.009492973809006489;0.4163971312051751;0.5249977108323414;0.1086005796271663
100;60;1;10;0.9717821209668093;0.9805352798053528;0.008753158838543551;0.4078532252584575;0.50186799501868;0.09401476976022244
100;40;1;10;0.9672913353156767;0.979114692570924;0.011823357255247302;0.3716456772410861;0.4839005335573765;0.1122548563162904
200;100;1;10;0.9862050013740038;0.9904213097237063;0.004216308349702547;0.41687575504135305;0.5083540634242845;0.09147830838293142
200;80;1;10;0.9853475627343524;0.9900757990153942;0.004728236281041798;0.4020856382853511;0.49940875049270794;0.09732311220735684
200;60;1;10;0.9846058670349749;0.9896029694696543;0.004997102434679435;0.39009444985949376;0.4876558579609661;0.09756140810147235
200;40;1;10;0.9830001749280409;0.9888851342569728;0.005884959328931849;0.36638334696587127;0.4708143469210454;0.10443099995517413
300;100;1;10;0.9902255827659281;0.9933916736783878;0.0031660909124596737;0.40312259915413656;0.5005398270631166;0.09741722790898005
300;80;1;10;0.9899595172869525;0.9932091895070045;0.0032496722200520134;0.3966133236003228;0.49368426387946773;0.09707094027914492
300;60;1;10;0.9896401124013948;0.9929876986818706;0.0033475862804758227;0.3890670961387443;0.485608237440548;0.09654114130180369
300;40;1;10;0.9885274531797981;0.992477457976641;0.003950004796842932;0.3648497806845159;0.46796018480920976;0.10311040412469386
400;100;1;10;0.9925474906086987;0.9949644467808427;0.0024169561721439914;0.399729261549404;0.49696659802932525;0.09723733647992122
400;80;1;10;0.9922764560200508;0.994849904598016;0.002573448577965265;0.39112425081459484;0.49131569102510175;0.10019144021050691
400;60;1;10;0.9920369149637442;0.994664203214603;0.0026272882508587836;0.3838180835110127;0.4824196514044936;0.0986015678934809
400;40;1;10;0.9912165075454266;0.9943355679460409;0.003119060400614382;0.36071585478476836;0.4674338540522271;0.10671799926745873
500;100;1;10;0.9941057354784323;0.995932378681232;0.0018266432027996826;0.4028516713375129;0.49479020317347444;0.09193853183596157
500;80;1;10;0.9938745030203059;0.9958399616092337;0.0019654585889278264;0.39357489191097045;0.4891520383025001;0.09557714639152964
500;60;1;10;0.9936279742841554;0.9957048121774811;0.0020768378933256892;0.3841393174997982;0.48113262219268793;0.09699330469288975
500;40;1;10;0.9929417122040073;0.995466374174678;0.002524661970670694;0.36008587234745276;0.46760255469954404;0.10751668235209128
600;100;1;10;0.9950350686370115;0.9965892163625286;0.0015541477255170966;0.4004947757941038;0.49340391271196876;0.09290913691786495
600;80;1;10;0.994784725992465;0.9965181249718539;0.001733398979388845;0.3886839026522505;0.4882306503022453;0.09954674764999477
600;60;1;10;0.9946129879484505;0.9964141594901796;0.0018011715417290963;0.3809731729012921;0.4808562679115638;0.09988309501027165
600;40;1;10;0.9941039370308499;0.9961969918240617;0.002093054793211868;0.3598015576247905;0.46614442502367515;0.10634286739888466
700;100;1;10;0.9956495157342121;0.9970641038507552;0.0014145881165430474;0.395362744859107;0.49246786272359194;0.09710511786448495
700;80;1;10;0.995617943113314;0.9970000607612792;0.001382117647965253;0.393627898208199;0.48705930102008055;0.09343140281188156
700;60;1;10;0.9954245013444261;0.996897525842371;0.0014730244979449525;0.38332012740823984;0.47864173485398853;0.09532160744574869
700;40;1;10;0.9949349030378583;0.9967293800931253;0.0017944770552670297;0.3594783143197651;0.465446814138995;0.1059684998192299
800;100;1;10;0.9962949231007335;0.9974152856459368;0.0011203625452033128;0.4020032274257762;0.4910228825049337;0.08901965507915749
800;80;1;10;0.99611949047458;0.9973697585807577;0.0012502681061776766;0.39089211726919226;0.48664852200436737;0.0957564047351751
800;60;1;10;0.9959392093153017;0.9972903236724984;0.0013511143571967033;0.38009240537912875;0.47919905923327627;0.09910665385414752
800;40;1;10;0.9955682558274558;0.9971293358784942;0.0015610800510383882;0.3596360620171099;0.46477657638404374;0.10514051436693383
900;100;1;10;0.9966655572276548;0.9976969546820948;0.0010313974544400306;0.3991188548383668;0.4904935698372563;0.0913747149988895
900;80;1;10;0.9965296882185029;0.9976598922135149;0.001130203995012069;0.3895478768635255;0.4864952492004121;0.0969473723368866
900;60;1;10;0.9964232484603832;0.9975766142798507;0.0011533658194674556;0.3823630053282495;0.47774365418239084;0.09538064885414133
900;40;1;10;0.9961572561971385;0.9974371199018943;0.001279863704755857;0.3655097204665421;0.4637660945460506;0.09825637407950849
1000;100;1;10;0.996996176952485;0.9979209869626832;9.248100101981738E-4;0.3989727898590318;0.48979459843822815;0.09082180857919636
1000;80;1;10;0.9968864684604115;0.9978848746394915;9.984061790799803E-4;0.390376752764801;0.485483014277681;0.09510626151287999
1000;60;1;10;0.9967739234394116;0.9978205222889701;0.0010465988495584888;0.3819331988766959;0.4779842589860475;0.0960510601093516
1000;40;1;10;0.9964140037698417;0.997710688162839;0.0012966843929973493;0.35721290412296314;0.4657049288494555;0.10849202472649239
50;100;11;20;0.9535900104058272;0.9596489640821496;0.006058953676322365;0.45111745594171504;0.4875212575263134;0.03640380158459838
50;80;11;20;0.9502980679451267;0.956510809451986;0.006212741506859243;0.43336281156856965;0.46801968019680196;0.03465686862823231
50;60;11;20;0.9453434610303831;0.9527952082144895;0.00745174718410635;0.4089285714285714;0.4467103503610591;0.037781778932487686
50;40;11;20;0.9298721425803952;0.9409942950285248;0.01112215244812964;0.34657039711191334;0.38946232206705794;0.0428919249551446
60;100;11;20;0.9602426504899674;0.9652145510962316;0.004971900606264179;0.44600979669686586;0.4804983638543932;0.03448856715752735
60;80;11;20;0.9570891732683323;0.9630738304892171;0.005984657220884815;0.4264316582573478;0.4650600884180761;0.03862843016072831
60;60;11;20;0.9519879160597724;0.9588363165441006;0.006848400484328221;0.3979299614404582;0.43707701714068853;0.039147055700230304
60;40;11;20;0.9407422320649621;0.9498651525904898;0.009122920525527656;0.3460551002271156;0.3870822198313262;0.04102711960421057
70;100;11;20;0.9652873319928035;0.9697053662140944;0.004418034221290945;0.44274549779136935;0.4776832430956822;0.03493774530431287
70;80;11;20;0.9633451294468244;0.9680176812818929;0.004672551835068539;0.42886519294870734;0.46374351867710945;0.034878325728402104
70;60;11;20;0.9584377361492264;0.9641392563614214;0.005701520212194944;0.39717831654937125;0.4344407419147835;0.037262425365412244
70;40;11;20;0.9470626533780738;0.956290706089114;0.009228052711040213;0.33825239245148025;0.38465248958342;0.046400097131939766
80;100;11;20;0.9691021150661128;0.9730784698729625;0.003976354806849769;0.439498602440496;0.47468639285425784;0.035187790413761855
80;80;11;20;0.9670746326911818;0.9713137152503674;0.004239082559185592;0.42339615271946107;0.4584338834211296;0.035037730701668546
80;60;11;20;0.9631285600538985;0.9682531311799605;0.005124571126062016;0.3950508730059038;0.4326174291066316;0.03756655610072779
80;40;11;20;0.9534046102517441;0.9610416369486314;0.007637026696887372;0.33842033724951887;0.3814601616809789;0.04303982443146004
90;100;11;20;0.9725369613748368;0.975860345434014;0.0033233840591772035;0.44038604589063296;0.4732259078055568;0.03283986191492383
90;80;11;20;0.9704395875918147;0.9743968871595331;0.0039572995677183975;0.42180955449459595;0.458208299787748;0.03639874529315207
90;60;11;20;0.9669304216070612;0.9714987511270948;0.004568329520033609;0.3938518206487132;0.43100047359152505;0.03714865294281183
90;40;11;20;0.9598016264169542;0.9664045102910321;0.006602883874077925;0.34665791464554313;0.3899620316939266;0.043304117048383495
100;100;11;20;0.9750864687395755;0.9782310211783476;0.003144552438772097;0.43907722471696914;0.4733345457649639;0.03425732104799478
100;80;11;20;0.9733040542992994;0.9767748454682529;0.0034707911689534354;0.4216903468285357;0.45685685907447815;0.03516651224594247
100;60;11;20;0.9704158526374547;0.9744556330148894;0.004039780377434687;0.3961490258630511;0.4327694154161347;0.036620389553083554
100;40;11;20;0.9629963459196103;0.9687612466709854;0.005764900751375146;0.34231605199123666;0.38280383401120627;0.04048778201996961
200;100;11;20;0.9869581809790905;0.9886682384875048;0.0017100575084143532;0.4307716443320234;0.4659475705520692;0.03517592622004578
200;80;11;20;0.9862656118228184;0.9879504865999076;0.0016848747770892292;0.4179615037696353;0.4505219862612645;0.032560482491629184
200;60;11;20;0.9845076049146944;0.9866533479950642;0.002145743080369855;0.38855795816813504;0.42504004831110037;0.03648209014296533
200;40;11;20;0.9810890633954042;0.9842721756823639;0.003183112286959666;0.34158309471293197;0.38492419083121254;0.043341096118280575
300;100;11;20;0.991203947572274;0.9923184770898833;0.001114529517609264;0.4289790013795693;0.46271707594434597;0.03373807456477668
300;80;11;20;0.9906912219624602;0.9919139915470071;0.0012227695845469233;0.41503474308159133;0.44988530774853885;0.034850564666947526
300;60;11;20;0.989729750412453;0.9911936612888751;0.0014639108764220587;0.39115622053407817;0.42869019433047323;0.03753397379639506
300;40;11;20;0.9870916406353241;0.9893158887465426;0.002224248111218574;0.3376582156734505;0.3816904411847229;0.044032225511272394
400;100;11;20;0.9933637158871238;0.9941888093206014;8.250934334775861E-4;0.4280595209009575;0.46103523772665633;0.03297571682569883
400;80;11;20;0.9929817990903566;0.9939056538553049;9.238547649483841E-4;0.4143255828222624;0.44916708951440554;0.03484150669214314
400;60;11;20;0.9922219020318607;0.9933458544586776;0.0011239524268169543;0.3894362752636368;0.427397192720296;0.03796091745665925
400;40;11;20;0.9902954554443697;0.9919467069987764;0.0016512515544067075;0.337845926656775;0.38113605018710195;0.04329012353032696
500;100;11;20;0.9946715060717802;0.9953313626947606;6.598566229804037E-4;0.42748566639838703;0.4602708200112136;0.03278515361282658
500;80;11;20;0.9943488956167451;0.9951071999346435;7.583043178983617E-4;0.41308569316371163;0.4485885420353053;0.03550284887159366
500;60;11;20;0.9937620664672622;0.9946649053792652;9.028389120030456E-4;0.3892152501839646;0.4271810827333081;0.03796583254934355
500;40;11;20;0.9921710432497403;0.9935445669291338;0.0013735236793935846;0.33639642016691795;0.3810475902409421;0.04465117007402414
600;100;11;20;0.9955339667800743;0.9961085028978354;5.745361177610375E-4;0.4262900863619069;0.46040303593146364;0.03411294956955674
600;80;11;20;0.9952804894974886;0.9959125258350324;6.320363375438287E-4;0.41278528609219817;0.4481742392085328;0.03538895311633461
600;60;11;20;0.9948284406546147;0.9955540956999739;7.256550453591526E-4;0.3906962683125429;0.4274001828205124;0.036703914507969504
600;40;11;20;0.9934666594485553;0.9946346351499255;0.001167975701370172;0.33637282746272346;0.38192834492872835;0.04555551746600489
700;100;11;20;0.9961814078672753;0.9966530836301589;4.716757628836499E-4;0.42705287995550245;0.4596951808650878;0.032642300909585364
700;80;11;20;0.995966353374814;0.9964884812876871;5.221279128730938E-4;0.4136514939401493;0.4477553414876615;0.03410384754751222
700;60;11;20;0.9955425502861744;0.9961819637187163;6.394134325418133E-4;0.38954573971972545;0.4270886359897482;0.037542896270022774
700;40;11;20;0.9944007188077877;0.9953620913343179;9.613725265301687E-4;0.33661154972243307;0.3801079358588752;0.04349638613644213
800;100;11;20;0.9966392148072818;0.99706885715358;4.2964234629816467E-4;0.4257407519654942;0.4595791242510365;0.03383837228554226
800;80;11;20;0.9964524490169462;0.9969274753664188;4.75026349472607E-4;0.4125289390931441;0.4478686180730691;0.035339678979925016
800;60;11;20;0.9960884507694908;0.9966509566778834;5.625059083925743E-4;0.3889894494625846;0.4265995317631635;0.037610082300578884
800;40;11;20;0.9950731104648869;0.9959144741447382;8.413636798513258E-4;0.3355126461413315;0.378656734460573;0.04314408831924149
900;100;11;20;0.9970203456837223;0.9973924312077728;3.7208552405043616E-4;0.4264662142984533;0.45945880412226153;0.032992589823808205
900;80;11;20;0.9968493467648636;0.9972599246258409;4.105778609773125E-4;0.41283503269459887;0.4471428407323948;0.03430780803779593
900;60;11;20;0.9965279627047795;0.997017381433643;4.894187288635443E-4;0.3894292615876852;0.42622229767445896;0.036793036086773756
900;40;11;20;0.9956182451343016;0.9963818266868312;7.635815525295353E-4;0.335517821291878;0.3796376900996328;0.04411986880775476
1000;100;11;20;0.9973116541649124;0.9976530388741439;3.41384709231507E-4;0.4259313369881074;0.45950789856783675;0.033576561579729325
1000;80;11;20;0.9971551331221575;0.9975342139392761;3.790808171185711E-4;0.41211764043010357;0.4472390733604886;0.035121432930385055
1000;60;11;20;0.9968840897141202;0.9973202993323349;4.3620961821466686E-4;0.39019445019189447;0.4267212180318231;0.03652676783992864
1000;40;11;20;0.9960371402956881;0.9967301064814432;6.929661857550951E-4;0.3345249982017644;0.3787433478059838;0.04421834960421939
