TrueTau1;EstTau1;UncorrVar1;CorrVar1;Samp1;Model1;TrueTau2;EstTau2;UncorrVar2;CorrVar2;Samp2;Model2;TrueTau3;EstTau3;UncorrVar3;CorrVar3;Samp3;Model3;TrueTau4;EstTau4;UncorrVar4;CorrVar4;Samp4;Model4;TrueTau5;EstTau5;UncorrVar5;CorrVar5;Samp5;Model5
212.37318658208997;246.43420817553542;7512.791044403706;2642.892228752868;367.25700064893;2275.635228103938;1112.0141308912855;1209.2315336723614;27292.248226821976;13797.077100769851;7949.953298722328;5847.123802047523;1974.8139928430073;2154.368329790074;43171.86621178552;28267.960089699733;22589.916188287192;5678.04390141254;108.45942596454057;107.07742472405232;621.1549766681626;196.9819351849311;54.85149933912966;142.13043584580146;3774.3594582166766;3713.9909497593426;103362.7171412021;77578.45004085833;67175.15608354613;10403.293957312198
208.04682932610285;226.4216008994101;6931.236264322612;2194.7588601100533;378.57993262993193;1816.1789274801213;1140.6433568317393;1135.9543116603274;23413.998436068912;12073.637268306586;7559.67935949352;4513.957908813067;2010.9083525327103;1881.9118927531767;37113.88737649732;24716.673777153377;19291.117756307078;5425.556020846299;112.49142898755976;104.84829860512467;638.2891364808538;219.19117009413938;61.86113049717849;157.3300395969609;3797.7974234049584;3644.1821012372725;105138.4775067401;81156.550036148;72931.46752490402;8225.082511243978
226.71938888417873;199.72223524331392;5892.86809508069;1868.0050208142852;325.6375683896976;1542.3674524245876;1122.0743042627178;1104.6396992457023;25128.74674695747;13281.73507885437;7278.722192272101;6003.01288658227;1986.8087942441996;2290.4998561634925;45848.35927575892;30464.678611275453;25049.34654277975;5415.332068495703;121.15832275590152;142.64557241961342;930.1008025756619;375.91225248849446;99.72441375207003;276.18783873642445;3816.4887542240485;4012.7665144523103;115931.0319923964;89137.04316030428;79632.28741561831;9504.755744685972
244.25836411171045;210.86885184219747;6050.641546213215;1914.1770950283628;283.8654823891736;1630.3116126391892;1149.6154285293633;1192.0579582676123;28634.320453536588;15176.013701758107;8634.961562482962;6541.052139275145;1958.2157098992438;2075.7171291788213;44782.882793072364;29894.84079061252;23959.947740055253;5934.893050557268;114.36386622258593;103.30511996210274;633.8788337199968;216.77655981477676;60.56398361966706;156.2125761951097;3799.918644122524;4039.8212649975612;128109.63962232781;102348.47599054052;91749.70104453753;10598.774946002988
238.67241785156537;251.2656558448939;7811.235638861579;3209.430960329821;360.8505841907403;2848.5803761390807;1152.1030498950356;1178.8319047995087;27139.54061806948;13954.712755623073;7309.385799213669;6645.326956409404;1980.7865373420327;2114.9150243533572;43928.29106735236;29472.372357748012;22719.61809392611;6752.754263821902;114.21329509809341;113.07536988697028;674.6692055135388;246.02335646530372;64.96902419476179;181.05433227054192;3791.534734286216;3832.9371151643923;105261.04668974322;81394.10908638318;73754.20393208187;7639.905154301305
210.5762734872775;288.6602597578242;8773.995148783772;3378.3635301394165;539.2788748108064;2839.08465532861;1136.175352872955;1196.1815902547028;24405.332652727036;12465.166824798234;8394.262657019091;4070.904167779143;1983.8020814491645;1799.496692199788;36454.989476976945;23044.274401383915;17320.659434621128;5723.614966762787;115.54583955098069;112.73560033580121;690.3778881670469;223.63873532350846;68.23076480656958;155.40797051693886;3835.0200327706234;4016.5030329954466;120232.88658500904;93993.82435428812;86720.6611085378;7273.163245750329
235.8158777439679;342.4828171234088;11166.094294712018;4332.958330934431;515.6653314867316;3817.292999447699;1132.1395164480336;1362.6617317927312;30497.35270320055;15660.359447651406;7761.167455118275;7899.191992533131;1973.4381477030838;2337.0347105166147;44875.65732664222;27807.459525984803;19968.319473277465;7839.140052707338;117.48598955918484;122.05896224451102;748.36552497923;248.83190699141636;55.44846648592839;193.38344050548795;3821.78767550908;4538.75635715976;118677.46988504141;86886.09964028836;75663.32208323453;11222.777557053836
207.57211328492812;195.7594234710247;5762.325870951525;1798.19920028945;257.9558913294909;1540.243308959959;1139.1149517323024;1114.1869621739745;24206.033575562265;12300.264748838463;7440.963595308967;4859.301153529495;2015.5376989559309;2059.822085033144;40461.90456471301;27515.666239037684;22104.114973829746;5411.551265207938;112.93460296663251;124.91280712218757;815.0742822079935;288.0253739851315;79.96268687569584;208.06268710943567;3734.722618065841;4150.005404614561;132503.14632218445;103469.01751932621;91350.49934752457;12118.51817180164
230.61111927859997;223.91141154390252;6311.296001769011;1817.3955384782573;346.9268336903772;1470.4687047878801;1122.0097961878257;1191.9634716002745;26958.43414790775;13867.199493738171;8697.369443597168;5169.830050141003;1991.4153615392206;1904.0103663114344;39537.66440476723;26623.29887253678;22041.10447035704;4582.194402179739;115.00516368101425;125.43331796350708;813.2543257111975;332.0929305057705;97.94445379534353;234.14847671042696;3801.249600044872;3762.3669083200552;117758.18487634358;93217.57391829832;84957.24277681379;8260.331141484538
224.49145689247823;170.7601740942017;5099.120066546654;1665.5413844751508;187.92920933936952;1477.6121751357814;1140.0736425408018;1195.8071962877937;25220.25383924297;13138.700358334889;7625.8235383228985;5512.87682001199;2010.3172042012434;2023.2984035694703;40761.11379113867;26497.38190756484;20957.395364547992;5539.986543016847;107.69033910638045;128.30280079010547;801.1621751233181;268.32339806565074;85.23020611944072;183.09319194621003;3802.2705534667275;3860.3005095050867;110267.80929275515;84400.89143992492;74792.71994854833;9608.17149137659
228.87931435302676;226.90231898546097;6798.8118160388185;2294.881531198792;300.6629351190735;1994.2185960797183;1135.0725241508474;1080.5566870599232;23676.561136540004;11462.029472042334;6163.792634965054;5298.23683707728;1989.502686445873;2220.5484892540403;45987.00759560318;30764.14072432494;25265.616026024938;5498.524698300003;111.81769586153796;120.81088962443341;724.0253309079008;257.9899343438097;73.43041941811384;184.55951492569585;3781.5747524689136;4079.3580284289587;120113.74775267522;93718.4349745814;83473.2109197413;10245.224054840102
226.8224504699813;267.15740135349324;8078.128937516836;3107.160699240719;335.80396674513906;2771.35673249558;1176.9516496240208;1253.8428613694573;26219.40256404529;12774.298868549404;6538.780264037836;6235.518604511568;1990.3270822902712;2222.9163837154924;41690.70583384122;26122.664426529722;19627.701541052742;6494.96288547698;109.96089401244873;121.97607472401744;704.9731455739663;244.52198276241003;58.455720164272435;186.0662625981376;3809.5868718011707;4229.417532707907;109520.95464421806;82068.72360420844;70196.67397273226;11872.049631476184
216.33917660117302;264.2380574550233;8377.389841502305;3077.937301232065;563.1119972690569;2514.825303963008;1112.8567498604295;1133.0647061903685;25927.690797472274;13929.74143133245;8627.412246833846;5302.329184498603;1981.381216727397;2165.286802245453;43789.184819676426;29733.005429449964;25124.92804688582;4608.0773825641445;116.46447209632672;138.65839524256816;998.7952620107119;384.41986653966785;104.06102841339958;280.35883812626827;3831.1495510321006;3900.4699420940515;121988.02098822435;93590.4639655947;84991.4810520445;8598.982913550193
227.5418356019044;170.01715167692603;4749.486757927411;1130.0649738934453;172.20315245585604;957.8618214375892;1143.8843156958;1253.3047967167304;26525.036002315275;12809.95434519539;7098.923716414157;5711.030628781233;1989.2267511738773;2026.389803679711;39132.905320513215;24387.918625706337;18325.615923683825;6062.302702022513;110.80347720308349;108.96577856452818;676.1310445239258;220.7246319204867;55.23977303390027;165.48485888658644;3809.678432943418;3921.4210796385196;101889.29829929782;77031.70116822566;66952.1785144424;10079.52265378325
218.88544429117258;245.34385308867542;7327.594910810263;2571.4364718677953;442.48957251340215;2128.9468993543933;1114.9521013460605;1202.272742818268;28220.11612304123;14868.433393011383;8730.411121969153;6138.0222710422295;1990.0691349121657;1924.4999613174223;41081.96763485363;27024.6316700404;22115.3617475089;4909.269922531497;113.48266435942517;110.57751901887859;697.3782503574763;251.51872335780482;73.42927104280872;178.0894523149961;3822.9995311512807;3823.6649119756435;122029.3100171637;95988.26589898039;86427.64123552099;9560.624663459399
237.72500880123204;251.0337882564249;7518.5323067966765;2796.6797004912314;380.37884582040823;2416.3008546708234;1133.6525647945334;1193.5785661330744;25739.935737408756;13945.428072206152;7494.869883054516;6450.558189151636;1974.7675448454581;1946.881515908832;36853.336635900225;23161.771479375802;18285.275406135224;4876.496073240578;112.8443263854288;111.91392591157094;686.3112128354012;236.52300773434567;60.99609005063578;175.52691768370988;3827.056798679662;3735.936956045422;98784.1846716603;73783.16663322574;67198.36572074943;6584.800912476319
214.87413286442413;183.468014879866;5360.330759017399;1621.6086539237667;161.69432254888542;1459.9143313748814;1117.7836753891172;1159.836950558461;25936.427437256214;13381.14261814966;6168.802089805177;7212.340528344483;1972.5790126631277;2258.021476424503;44984.497386824056;28957.392319107148;22215.32651548494;6742.0658036222085;118.08574520081302;132.46152492925165;855.6986926824546;326.15605905407307;77.65699184383374;248.49906721023933;3823.0665013683883;4033.8082552429696;103569.11193132914;79152.76419394357;70236.85912734996;8915.905066593608
212.5446489007106;209.50858946248556;6710.593527721128;2278.892327720612;311.70347506286333;1967.1888526577486;1153.5768721893164;1212.2220613635277;28003.920500841778;14996.726707639069;8998.472072622339;5998.25463501673;1971.5429801872442;2047.3893390187875;42102.41333475843;27601.250667665154;21923.502605019625;5677.748062645529;124.6621723254144;111.81696047116911;650.7844690436043;186.54780653645815;65.3976691688681;121.15013736759005;3853.4543804586006;4033.9197554137345;122658.64737723113;94015.28164261096;86258.08845124568;7757.193191365281
237.12994882991495;174.74052348639367;4693.951567176115;1306.7208753615637;247.20217235132566;1059.518703010238;1168.7725266784203;1114.7260640727675;25417.479697789677;13782.471880887342;8068.527702231866;5713.944178655476;2003.0585597068432;2113.7764374093376;41207.05002683489;26947.335399970798;21606.89142885224;5340.443971118559;116.56121770147898;127.36557249930026;854.7425653106009;335.07975783311633;79.8607300627327;255.21902777038366;3846.9499684026337;3945.484597171493;118401.36161998108;90618.313711435;79913.95053047701;10704.363180957982
225.8183784387695;195.65841644292323;6027.329454308474;2009.5250417235652;287.5226307188291;1722.0024110047361;1142.7112544414942;981.7313584985862;21367.073084431628;10419.262281802583;6454.5411087185785;3964.7211730840045;1973.525689618026;1835.3924193444614;37391.495792086134;24689.97684279795;19877.50114656457;4812.475696233381;113.01915820521481;121.18964647412164;744.1318097868412;260.2070951887257;88.10229562236881;172.10479956635686;3819.614589266427;3670.727201431115;111820.7456576544;87585.28726311085;80356.42618612513;7228.861076985719
239.88976987467856;234.87218853129193;7136.081789452593;2320.2708029097785;358.2953220062007;1961.9754809035776;1155.9183640997046;1111.345847600829;22479.59517155918;11037.522396220906;6009.91095107101;5027.611445149896;1993.5399131754632;2108.4750050511775;40491.4044649105;26030.741473969676;19252.15994689974;6778.581527069935;106.19444437948322;152.71475824163588;986.5755129591523;353.38507807718173;99.1695280308091;254.21555004637264;3840.400442728601;4053.133307039668;107807.64426122804;81070.84011931006;69683.52844897246;11387.3116703376
243.4095595387409;179.06325654424435;4832.4073937014255;1571.2279374881568;148.02797432830533;1423.1999631598514;1124.8891518306539;1141.537982051617;20742.59174298273;9688.017503523362;5538.236498878055;4149.781004645309;2002.6349163061625;2144.099131938156;38455.7970829192;24639.703015084076;18750.838170269853;5888.864844814223;117.75462218905633;121.15149672659132;713.1628694434472;244.39713946909035;60.90006713346234;183.497072335628;3789.2417298229457;4007.9648967624635;99644.16774934002;74459.0730310652;63708.57986790788;10750.493163157313
230.56613944626568;228.12166163784033;6474.25296849873;2303.355195994932;289.6383402534146;2013.716855741517;1149.3512465140468;1194.0932041140402;25582.051640735568;13227.756320212335;7200.708904097395;6027.04741611494;1970.9953806408196;1903.9334206047643;35546.722223715195;21394.47359251949;15914.079112521671;5480.39447999782;118.98548995148613;104.21804950764529;657.8059452242163;235.38369608108027;47.74529661317703;187.63839946790324;3812.9945345247365;3779.031945753372;101320.53748742695;74441.3960351104;63989.19136141238;10452.204673698026
230.47728613412355;274.8584766553359;8183.74282690374;2822.604061174539;472.69965678394544;2349.9044043905933;1169.850123290023;1007.6034092250503;21041.340269628636;10308.38192416054;5959.022164350783;4349.359759809757;2027.4969144294846;1874.534116953212;36499.435865971245;23284.38619900125;19086.86847162317;4197.517727378079;117.91846875952272;111.4798770313736;665.9038549459318;230.3175944651664;66.5359494376704;163.78164502749598;3820.067200710524;3327.030560793726;90655.0577473209;67823.06425032219;60617.098879433324;7205.965370888865
244.2239540119416;246.04147126024176;7999.845045386277;2975.5065657451323;401.26801491038896;2574.2385508347434;1137.4609622827793;1139.7151557488778;25900.365650099142;13298.453543701857;7531.489668465898;5766.963875235959;2011.029378476988;2028.8667636275932;41472.2086920039;26862.59065844244;20784.21342312712;6078.377235315322;111.88025647479108;127.37266744577771;773.706343573518;245.09262351516725;82.13253529106879;162.96008822409846;3826.3792538514485;3954.502639554615;119257.5537760945;91358.19693201293;79585.99503531157;11772.201896701357
210.43149103366866;341.46226704735375;11063.957329004377;4758.03104197529;1013.3470055822386;3744.6840363930505;1156.2591589966362;1123.8505561195007;27961.953583394523;15338.618484417648;9570.964651807417;5767.653832610231;1988.7389067389338;1943.8222690894504;40968.10378060231;27745.179240959595;22728.333716857305;5016.845524102289;115.42368498712844;120.04714698879644;758.3429006664032;259.50717327054343;87.80742361104444;171.699749659499;3852.7808437226045;3548.5477393557508;107711.95950943415;86187.54918449812;78222.47032693586;7965.078857562257
212.84974062546334;227.31639205285438;6933.331294010765;2474.2422422782247;373.41711346491235;2100.8251288133124;1107.8655272650074;1309.355484756639;29073.673526568302;15449.581835561425;8791.77026918938;6657.8115663720455;2015.2993772567165;2183.452930243371;38970.4816308171;23689.0207009825;18082.33407956745;5606.6866214150505;118.19005517630382;119.90535383011948;697.9124705721838;242.99729776241242;53.78689291913782;189.2104048432746;3831.481239258756;4145.018351520149;109592.83366257015;79837.23324041661;68641.62041537416;11195.612825042452
232.11008650886112;262.00181949551927;8626.42666810379;3268.54704516152;664.9297608447825;2603.6172843167374;1174.1192709689785;1131.5809055868253;27922.466436308405;15781.435455830582;10386.751296471146;5394.684159359436;2004.6991627903176;1875.9662052139947;44576.89111860796;30771.297397730545;24963.195967113297;5808.101430617247;111.68352070784466;93.20239478560408;549.6717256248362;180.0021897262158;62.1420468135199;117.86014291269589;3857.430554950569;3579.7012482876903;121022.12976229501;98069.7632893602;92283.18928297886;5786.574006381343
234.27585946528202;122.49842147227974;3279.8515420350777;723.4969394225084;115.22097891459046;608.275960507918;1119.527731769165;1227.0804669983222;27465.932092143823;14269.153021325623;9545.542099383809;4723.610921941814;1974.644558142144;1983.3356451398447;43345.866683248954;28545.10547831584;24165.32076596267;4379.784712353168;113.5443168926339;102.76778610781685;627.8168372867292;213.2540209772892;64.05424101620808;149.1997799610811;3844.86067494906;3877.827691661609;126150.33683030898;100122.49636439086;91376.77517865792;8745.721185732938
238.13868005291272;183.559050994494;5477.674481326216;1701.6635572259213;215.09957017870133;1486.56398704722;1130.8414707990573;1272.0323972466692;26736.17657744263;14229.591399543388;9578.42953250598;4651.161867037408;2001.3168311293723;1849.870202889765;37037.36659095514;24256.19365734512;19421.9892963244;4834.204361020722;113.38902151317023;132.18649492738658;859.4851473972183;312.01611415588286;97.11912606349897;214.89698809238388;3748.007525858085;3726.7915867201295;111703.22967617598;86834.72937940015;78304.47704727597;8530.252332124175
216.55229144379936;233.2410534575077;7469.284782604211;2702.943882719975;380.26375021597306;2322.680132504002;1157.46210827131;1174.66384760713;29005.896534985448;15304.545714728918;8996.613660306684;6307.932054422234;1968.9493033593221;1853.2132644456906;36344.268224224645;23277.280568730937;19794.89324836296;3482.387320367976;118.65362128257226;122.21869367305167;748.8568973043641;262.96205840037806;86.22402160684172;176.73803679353637;3813.068924334871;3672.2463843669593;109732.65653040324;86537.05284184995;78192.87310270358;8344.179739146362
224.38749299337255;206.50111159655597;6299.475036473896;2336.338822080181;412.01184748633113;1924.32697459385;1103.8082216255166;1090.8599732599832;25345.63141947388;14342.861391192766;9288.76243825863;5054.098952934137;1961.6630660850883;1888.9962339317526;39462.57655105124;26829.223132152492;21213.879881084325;5615.343251068167;123.20963071655711;96.25913698017335;563.2320873810145;181.60602326729764;53.422804298296285;128.18321896900136;3814.065197573759;3886.591626338754;131135.25277230015;102906.07762529186;95060.41070524228;7845.666920049582
226.0748136481111;254.8745345629169;7890.167569166557;2748.708796718925;444.6638354445696;2304.0449612743555;1144.8558537507295;1111.5598651139685;24928.322302425695;12253.928193720487;6707.050544046978;5546.877649673508;2042.9832089706367;2061.547551401349;39220.48985722393;23656.808013159345;16962.712173692085;6694.09583946726;114.315618966649;109.1066518085678;641.6951209635271;215.06157282888796;45.23319447890668;169.82837834998128;3805.5812816999714;4060.3599825048677;107010.77595222741;79391.98805585169;68220.95040267525;11171.037653176434
229.5871335829442;231.59741905414367;7089.00946158902;2452.8772249403314;424.1802246413784;2028.6970002989528;1134.7076342281835;1192.2689843717756;29165.983743666642;15883.000741940232;9837.481695100669;6045.519046839563;1979.1452404076015;2107.1165734614797;46115.26027628935;31776.891391316734;25408.58886054301;6368.302530773726;119.0766055135864;99.4826256654812;624.3604454969061;201.41624134664525;57.84920557523364;143.5670357714116;3867.933752850256;3817.868748575714;121702.61805355625;95728.24530856751;85754.3739715066;9973.871337060904
231.82557305993154;271.989814904468;8224.644506027073;3246.13535172897;333.89427757591415;2912.2410741530557;1151.8396557831454;1144.8162290208554;22469.535240077297;10938.342618203404;5567.844088123906;5370.498530079498;2001.370078658476;2228.176176581349;38410.27571541564;24070.163568701482;18474.907856410737;5595.255712290746;116.52174565697912;108.79549968392351;587.792016282503;180.82741712159313;45.186871690316885;135.64054543127625;3792.4250034758256;4478.955751115318;118632.54677635842;85915.08272569545;74825.81562152194;11089.267104173516
235.347301237743;232.01896079950444;7054.766780195963;2316.3290569531036;419.9895251667483;1896.339531786355;1152.7058323660674;1286.4423730863052;29165.951306013645;16339.867075012131;9793.446622287393;6546.420452724738;1993.6749949333025;2319.1613172777006;46986.66486618061;29961.61691205051;23649.129054996403;6312.487857054108;114.60950936068036;145.21039308355697;1026.5937250476711;392.5592902424263;94.34179468337894;298.21749555904734;3817.359605860818;4257.640425659396;126212.03920129937;95045.88631893927;83440.53643765351;11605.349881285758
