row;effect;pert;sdom;vp;milieu;Col1;Col2;Col3;Col4;Col5;Col6;Col7;Col8;Col9;Col10;Col11;Col12;Col13;Col15;Col16;Col17;Col18;Col19;Col20;Col21;Col22;Col23;Col24;Col25;Col26;Col27;Col28;Col29;Col30;Col31;Col33;Col34;Col35
1;ldhp;;;;;0.0202005779258368000000000;-0.0019923787742639000000000;-0.0000000042543484000000000;0.0011875786333140000000000;-0.0074299399146241000000000;-0.0077318717432593000000000;-0.0075906092990375000000000;-0.0077173508743966000000000;-0.0072713948670756000000000;-0.0070846125995287000000000;-0.0069481662884443000000000;-0.0068551108290031000000000;-0.0067633342413669000000000;-0.0083425915078516000000000;-0.0084286147241061000000000;-0.0084772034131313000000000;-0.0083099986285119000000000;-0.0084704406691760000000000;-0.0085133474657617000000000;-0.0088507202534359000000000;-0.0094797951078728000000000;-0.0088749711847352000000000;-0.0084493499199156000000000;-0.0090320995073805000000000;-0.0084513882002944000000000;-0.0089277039276265000000000;-0.0083517406677314000000000;-0.0084097966913665000000000;-0.0094878265512270000000000;-0.0089945664109660000000000;0.0000640067004709000000000;-0.0000664283548990000000000;0.0000458056003270000000000
2;ldhp2;;;;;-0.0019923787742639000000000;0.0009964584247392000000000;-0.0000052636454257000000000;-0.0007228002158059000000000;-0.0000143789414198000000000;0.0000057651068697000000000;-0.0000203455119227000000000;-0.0000178546339859000000000;-0.0000561555077229000000000;-0.0000214471925531000000000;-0.0000750142231512000000000;-0.0000095042815958000000000;-0.0000504915302134000000000;-0.0001428406955987000000000;-0.0000914280499381000000000;-0.0000803639776567000000000;-0.0001167814510714000000000;-0.0000885472175874000000000;-0.0001318166498566000000000;-0.0000224196677074000000000;-0.0000314122647754000000000;0.0000308728457940000000000;-0.0000421090910356000000000;0.0000294340277955000000000;-0.0000857131219028000000000;0.0000209298324441000000000;-0.0001211612610417000000000;-0.0001026361728934000000000;0.0000258359696388000000000;-0.0000046307454694000000000;0.0000049779118458000000000;-0.0000023300651550000000000;-0.0000516598086224000000000
3;ldhp*st;;;;;-0.0000000042543484000000000;-0.0000052636454257000000000;0.0000004488925735000000000;0.0000030878653204000000000;0.0000001286045950000000000;0.0000005092836853000000000;0.0000013384209993000000000;0.0000002162201298000000000;0.0000006249194045000000000;-0.0000007239097249000000000;0.0000014802840149000000000;-0.0000010055686798000000000;0.0000011215048506000000000;0.0000020229233184000000000;0.0000014498717627000000000;0.0000018508571319000000000;0.0000017868694234000000000;0.0000016906018268000000000;0.0000025734876439000000000;0.0000018167975573000000000;0.0000001212672996000000000;0.0000021867046930000000000;0.0000011046107255000000000;-0.0000007060125852000000000;-0.0000032280713355000000000;0.0000034515640927000000000;-0.0000006774038851000000000;-0.0000016335633153000000000;0.0000025607086412000000000;0.0000045717417256000000000;0.0000000354788083000000000;0.0000015729485289000000000;0.0000013249640953000000000
4;ldhp*rdhp;;;;;0.0011875786333140000000000;-0.0007228002158059000000000;0.0000030878653204000000000;0.0007692926586102000000000;0.0000208343483684000000000;0.0000084306244264000000000;0.0000373277575804000000000;0.0000184646463602000000000;0.0000709742462547000000000;0.0000445882032228000000000;0.0000736584244560000000000;0.0000332322135159000000000;0.0000561532015766000000000;0.0001367685853786000000000;0.0001004970250597000000000;0.0000510711275425000000000;0.0000998396246435000000000;0.0000706280713185000000000;0.0000891272355538000000000;0.0000010538385522000000000;0.0000453590722151000000000;-0.0000353306746659000000000;0.0000567375315261000000000;0.0000111185784994000000000;0.0001009239580058000000000;-0.0000204900522962000000000;0.0001348994586459000000000;0.0000897573572920000000000;-0.0000457086976805000000000;-0.0000192479065420000000000;-0.0000054489396767000000000;0.0000104394875671000000000;0.0000428465025405000000000
5;ldhp*sdom;;1;;;-0.0074299399146241000000000;-0.0000143789414198000000000;0.0000001286045950000000000;0.0000208343483684000000000;0.0206821936783028000000000;0.0123421935107884000000000;0.0121853737583084000000000;0.0108813420605147000000000;0.0111673989201906000000000;0.0096941225183210000000000;0.0096743608868954000000000;0.0087097649480945000000000;0.0085697565325756000000000;-0.0004349410697984000000000;-0.0005130801802621000000000;-0.0001638120966509000000000;-0.0003622490910162000000000;-0.0003372671165928000000000;0.0000710783098982000000000;0.0000167881127073000000000;-0.0008376555533104000000000;0.0003628441974333000000000;0.0002450072186675000000000;0.0009136440512546000000000;0.0000398444221546000000000;0.0001439498612097000000000;-0.0004981092576163000000000;0.0000136698294541000000000;0.0005083536945358000000000;0.0002327389188599000000000;-0.0009827507918039000000000;0.0000225711341082000000000;0.0000082622925644000000000
6;ldhp*sdom;;2EST;;;-0.0077318717432593000000000;0.0000057651068697000000000;0.0000005092836853000000000;0.0000084306244264000000000;0.0123421935107884000000000;0.0167031686789681000000000;0.0116061680620029000000000;0.0105153501435129000000000;0.0106509325426626000000000;0.0094170650281425000000000;0.0093720507334659000000000;0.0085227588977411000000000;0.0083933392901574000000000;0.0000836031201543000000000;0.0002706974473656000000000;0.0002657262335443000000000;-0.0000938040584646000000000;0.0000382924567905000000000;0.0003774811811864000000000;0.0003304941204471000000000;-0.0003734877002266000000000;0.0006298797357560000000000;0.0004379551613942000000000;0.0011489488013361000000000;0.0003243229142637000000000;0.0004319317723408000000000;0.0004298028846964000000000;0.0003873346663650000000000;0.0008276369233887000000000;0.0004640772748558000000000;-0.0008931843431658000000000;0.0000083747343563000000000;0.0000129316504985000000000
7;ldhp*sdom;;2OUEST;;;-0.0075906092990375000000000;-0.0000203455119227000000000;0.0000013384209993000000000;0.0000373277575804000000000;0.0121853737583084000000000;0.0116061680620029000000000;0.0145585386899783000000000;0.0103573468288431000000000;0.0105621709384474000000000;0.0093115480076711000000000;0.0092665384689505000000000;0.0084254081354850000000000;0.0083125613039889000000000;-0.0000948577561062000000000;-0.0004002662874809000000000;-0.0002148340518517000000000;-0.0001609888166281000000000;-0.0000533299441352000000000;0.0002733272016579000000000;0.0002555148704030000000000;-0.0003782847457999000000000;0.0005251809304838000000000;0.0002952308338335000000000;0.0010234372331155000000000;0.0001699806986735000000000;0.0002498933623220000000000;0.0000075091609639000000000;0.0001641951433568000000000;0.0007438976048308000000000;0.0004544339909513000000000;-0.0008452478077619000000000;-0.0000087786014493000000000;0.0000108204473288000000000
8;ldhp*sdom;;3EST;;;-0.0077173508743966000000000;-0.0000178546339859000000000;0.0000002162201298000000000;0.0000184646463602000000000;0.0108813420605147000000000;0.0105153501435129000000000;0.0103573468288431000000000;0.0106159371704928000000000;0.0096430580141710000000000;0.0087059276989210000000000;0.0086741823994125000000000;0.0080082954141353000000000;0.0079096160408623000000000;0.0002540706686924000000000;0.0004193666263099000000000;0.0004243557194606000000000;0.0000791447225784000000000;0.0002755126078600000000000;0.0005678923691961000000000;0.0005616524009848000000000;0.0002843442818313000000000;0.0007596188746297000000000;0.0003909336992817000000000;0.0011664344670010000000000;0.0004976566731804000000000;0.0006104440296989000000000;0.0004962912114376000000000;0.0005120924562178000000000;0.0010682762326576000000000;0.0006989289714604000000000;-0.0006418829162383000000000;0.0000003031156966000000000;0.0000078879477137000000000
9;ldhp*sdom;;3OUEST;;;-0.0072713948670756000000000;-0.0000561555077229000000000;0.0000006249194045000000000;0.0000709742462547000000000;0.0111673989201906000000000;0.0106509325426626000000000;0.0105621709384474000000000;0.0096430580141710000000000;0.0103569899457784000000000;0.0087840934641354000000000;0.0088148434665764000000000;0.0080786300024858000000000;0.0079813796522629000000000;-0.0002281610561107000000000;-0.0004315469242594000000000;-0.0001459757555123000000000;-0.0002944520346765000000000;-0.0002101099199404000000000;0.0001716486186471000000000;0.0001352854964216000000000;-0.0001930528104565000000000;0.0003675020765191000000000;0.0004003155537858000000000;0.0007764354166721000000000;0.0001103972143761000000000;0.0001156161833376000000000;-0.0002434516486345000000000;0.0000532300043935000000000;0.0006372157573095000000000;0.0002800835519699000000000;-0.0006779252754894000000000;0.0000100673891299000000000;0.0000080072822323000000000
10;ldhp*sdom;;4EST;;;-0.0070846125995287000000000;-0.0000214471925531000000000;-0.0000007239097249000000000;0.0000445882032228000000000;0.0096941225183210000000000;0.0094170650281425000000000;0.0093115480076711000000000;0.0087059276989210000000000;0.0087840934641354000000000;0.0087073135171957000000000;0.0080760960287621000000000;0.0077532237231680000000000;0.0076997817744744000000000;-0.0000777207969271000000000;0.0000761033136100000000000;-0.0000213895295722000000000;-0.0000037974551384000000000;0.0000309673438483000000000;-0.0003455101333467000000000;-0.0000094568162588000000000;-0.0000601356730467000000000;-0.0001941560777805000000000;0.0000957640893339000000000;0.0004517005800366000000000;-0.0003160063902835000000000;0.0001566671801293000000000;0.0001692718847072000000000;-0.0000758876888165000000000;0.0005986377208511000000000;0.0001443092925967000000000;-0.0004814266002240000000000;0.0000005700418297000000000;0.0000087609303505000000000
11;ldhp*sdom;;4OUEST;;;-0.0069481662884443000000000;-0.0000750142231512000000000;0.0000014802840149000000000;0.0000736584244560000000000;0.0096743608868954000000000;0.0093720507334659000000000;0.0092665384689505000000000;0.0086741823994125000000000;0.0088148434665764000000000;0.0080760960287621000000000;0.0084620611035128000000000;0.0075966586136935000000000;0.0075310971951470000000000;-0.0001479574419835000000000;-0.0000858525328020000000000;-0.0000259146762529000000000;-0.0002353259632660000000000;-0.0002956454638130000000000;0.0000776027683273000000000;0.0000298677125766000000000;0.0000726498732836000000000;0.0002068602210829000000000;0.0002310901244304000000000;0.0004873560309978000000000;0.0000289091411169000000000;0.0000010344210640000000000;-0.0000388116316872000000000;-0.0000202874122047000000000;0.0004896834556935000000000;0.0001361507920675000000000;-0.0004615689283850000000000;0.0000156921469557000000000;0.0000072324747510000000000
12;ldhp*sdom;;5EST;;;-0.0068551108290031000000000;-0.0000095042815958000000000;-0.0000010055686798000000000;0.0000332322135159000000000;0.0087097649480945000000000;0.0085227588977411000000000;0.0084254081354850000000000;0.0080082954141353000000000;0.0080786300024858000000000;0.0077532237231680000000000;0.0075966586136935000000000;0.0078098099522429000000000;0.0073418951843198000000000;-0.0000173801212783000000000;0.0000483840347736000000000;0.0000105586848529000000000;-0.0000162543934525000000000;-0.0000001298123870000000000;-0.0001126514221324000000000;-0.0001440873643832000000000;-0.0001621814211216000000000;0.0000146248416995000000000;0.0001581961465966000000000;-0.0001395199254818000000000;-0.0000663015537624000000000;0.0000420342962918000000000;0.0001154019825558000000000;0.0000080894971002000000000;0.0004736246073956000000000;-0.0000165572552684000000000;-0.0003453406668442000000000;0.0000040062186619000000000;-0.0000098237391187000000000
13;ldhp*sdom;;5OUEST;;;-0.0067633342413669000000000;-0.0000504915302134000000000;0.0000011215048506000000000;0.0000561532015766000000000;0.0085697565325756000000000;0.0083933392901574000000000;0.0083125613039889000000000;0.0079096160408623000000000;0.0079813796522629000000000;0.0076997817744744000000000;0.0075310971951470000000000;0.0073418951843198000000000;0.0080765551698061000000000;-0.0000400822614755000000000;0.0000199093162012000000000;-0.0001413230767995000000000;-0.0000360487740821000000000;-0.0000215104940992000000000;-0.0001724511729531000000000;-0.0001479815583471000000000;0.0001540911995842000000000;-0.0001605794908226000000000;0.0001235025770665000000000;0.0002128326930492000000000;-0.0001062293398834000000000;0.0000722157455993000000000;0.0000743964408594000000000;-0.0000139840029998000000000;0.0003934352630036000000000;0.0000336189931201000000000;-0.0003226562555810000000000;0.0000132562265282000000000;0.0000026352208200000000000
15;ldhp*vp;;;FE3;;-0.0083425915078516000000000;-0.0001428406955987000000000;0.0000020229233184000000000;0.0001367685853786000000000;-0.0004349410697984000000000;0.0000836031201543000000000;-0.0000948577561062000000000;0.0002540706686924000000000;-0.0002281610561107000000000;-0.0000777207969271000000000;-0.0001479574419835000000000;-0.0000173801212783000000000;-0.0000400822614755000000000;0.0099372686144621000000000;0.0086946296663556000000000;0.0086128094048189000000000;0.0085771692584780000000000;0.0086351041159190000000000;0.0085914296609003000000000;0.0085775788839851000000000;0.0086029366511443000000000;0.0085614454093211000000000;0.0084260125593263000000000;0.0085092733257473000000000;0.0085673019718326000000000;0.0086051443534932000000000;0.0086782727822717000000000;0.0085953035151448000000000;0.0085874954016537000000000;0.0085778519111771000000000;0.0000287876648137000000000;-0.0000184699053312000000000;0.0000132933484578000000000
16;ldhp*vp;;;FE6;;-0.0084286147241061000000000;-0.0000914280499381000000000;0.0000014498717627000000000;0.0001004970250597000000000;-0.0005130801802621000000000;0.0002706974473656000000000;-0.0004002662874809000000000;0.0004193666263099000000000;-0.0004315469242594000000000;0.0000761033136100000000000;-0.0000858525328020000000000;0.0000483840347736000000000;0.0000199093162012000000000;0.0086946296663556000000000;0.0159525900586778000000000;0.0087352013284840000000000;0.0086511879623484000000000;0.0086930225422641000000000;0.0084912052542263000000000;0.0085375993025341000000000;0.0085128337888106000000000;0.0084772303381943000000000;0.0084001133960843000000000;0.0084915081402237000000000;0.0084990374039482000000000;0.0086442907571475000000000;0.0088965345526903000000000;0.0086091586594981000000000;0.0085678431460696000000000;0.0085493665881660000000000;0.0000045680617442000000000;0.0000034623823853000000000;0.0000035134961695000000000
17;ldhp*vp;;;MF1;;-0.0084772034131313000000000;-0.0000803639776567000000000;0.0000018508571319000000000;0.0000510711275425000000000;-0.0001638120966509000000000;0.0002657262335443000000000;-0.0002148340518517000000000;0.0004243557194606000000000;-0.0001459757555123000000000;-0.0000213895295722000000000;-0.0000259146762529000000000;0.0000105586848529000000000;-0.0001413230767995000000000;0.0086128094048189000000000;0.0087352013284840000000000;0.0147668911814056000000000;0.0085558864344277000000000;0.0086121670226017000000000;0.0086313753357402000000000;0.0086260017475849000000000;0.0086105637435413000000000;0.0086307314029907000000000;0.0084379065454784000000000;0.0085683801295160000000000;0.0085878317978952000000000;0.0086263720890682000000000;0.0086861111866224000000000;0.0086080395392811000000000;0.0086319752399570000000000;0.0086149910799308000000000;0.0000111719000331000000000;-0.0000074385817314000000000;-0.0000052571286142000000000
