row;effect;pert;sdom;vp;milieu;Col1;Col2;Col3;Col4;Col5;Col6;Col7;Col8;Col9;Col10;Col11;Col12;Col14;Col15;Col16;Col17;Col18;Col19;Col20;Col21;Col22;Col23;Col24;Col25;Col26;Col27;Col28;Col30;Col31;Col32;Col33;Col34;Col35;Col36;Col37;Col38;Col39;Col40;Col42;Col43
1;ldhp;;;;;0.0059076732118408000000000;-0.0008024261310388000000000;0.0000041227981104000000000;0.0005584480135539000000000;-0.0000676230499211000000000;0.0002872895792209000000000;-0.0002078433755324000000000;0.0002578883108849000000000;-0.0000880604418688000000000;0.0005634344670352000000000;-0.0001921121949875000000000;0.0002981403293670000000000;-0.0003147323644217000000000;-0.0001685975285402000000000;-0.0001267049894848000000000;-0.0001627854472687000000000;-0.0001921020626032000000000;-0.0002486902230959000000000;-0.0003898549964742000000000;-0.0001811605969883000000000;-0.0004296392050963000000000;-0.0003558886142601000000000;-0.0006421660800108000000000;-0.0001083389284337000000000;-0.0002560106497465000000000;-0.0001971284105510000000000;-0.0002626234259839000000000;0.0001036341097329000000000;-0.0000040195635710000000000;-0.0003226089087990000000000;-0.0003153164536885000000000;-0.0002928256947610000000000;-0.0004350214744643000000000;-0.0003415832661101000000000;-0.0002542972453103000000000;-0.0004677067409884000000000;-0.0002032186439251000000000;-0.0002810929541862000000000;-0.0000032992505853000000000;0.0000240683273523000000000
2;ldhp2;;;;;-0.0008024261310388000000000;0.0004319022808344000000000;-0.0000029329372589000000000;-0.0003478048340499000000000;0.0000061757008072000000000;-0.0000023164560525000000000;-0.0000206354343235000000000;0.0000012625512419000000000;-0.0000073814589148000000000;0.0000056309768528000000000;0.0000034126653887000000000;0.0000063030827688000000000;0.0000072084069310000000000;-0.0000272781998379000000000;-0.0000071828500563000000000;-0.0000194242863719000000000;-0.0000172603247261000000000;-0.0000183063147112000000000;-0.0000226750354942000000000;-0.0000341264789687000000000;0.0000326358303043000000000;0.0000280251705504000000000;0.0000307443335707000000000;0.0000350767932681000000000;-0.0000314885791005000000000;-0.0000287379423274000000000;0.0000045003822686000000000;-0.0000021406211083000000000;0.0000000369487475000000000;-0.0000164875079605000000000;-0.0000176650045311000000000;-0.0000216012474627000000000;-0.0000172745480930000000000;-0.0000161785249274000000000;-0.0000200624282619000000000;-0.0000146454174524000000000;-0.0000007614054644000000000;-0.0000262346287915000000000;-0.0000002361657118000000000;-0.0000161264840767000000000
3;ldhp*st;;;;;0.0000041227981104000000000;-0.0000029329372589000000000;0.0000001265737845000000000;0.0000020185458792000000000;0.0000001469865568000000000;0.0000001007734564000000000;0.0000002355478968000000000;-0.0000002257267347000000000;0.0000001527272177000000000;-0.0000001853458334000000000;0.0000000291440190000000000;-0.0000000409817221000000000;-0.0000011804350943000000000;-0.0000001058149157000000000;-0.0000002384826049000000000;-0.0000002133697724000000000;0.0000000915877963000000000;0.0000002144394954000000000;-0.0000000629460864000000000;-0.0000013672878463000000000;0.0000005635973455000000000;-0.0000003245390405000000000;0.0000000381609856000000000;-0.0000000813844905000000000;-0.0000004473660306000000000;-0.0000007067863528000000000;-0.0000003793107933000000000;-0.0000000568055442000000000;-0.0000000000481510000000000;0.0000000700773330000000000;-0.0000000874895033000000000;-0.0000001767195439000000000;-0.0000004231965660000000000;-0.0000000006440017000000000;-0.0000000284222920000000000;-0.0000001362222206000000000;-0.0000002177501604000000000;-0.0000000891427401000000000;0.0000003290333753000000000;0.0000003332147259000000000
4;ldhp*rdhp;;;;;0.0005584480135539000000000;-0.0003478048340499000000000;0.0000020185458792000000000;0.0003805602775170000000000;-0.0000081731908692000000000;-0.0000010288574930000000000;0.0000175674721344000000000;-0.0000017560281888000000000;0.0000044365926931000000000;-0.0000054921319872000000000;-0.0000026303778831000000000;-0.0000038783934558000000000;0.0000013491774169000000000;0.0000257353046074000000000;0.0000083971753243000000000;0.0000170599178136000000000;0.0000073704922566000000000;0.0000205395952818000000000;0.0000326651375054000000000;0.0000459362807458000000000;-0.0000276917715471000000000;-0.0000212122704221000000000;-0.0000231939000830000000000;-0.0000265134868721000000000;0.0000396483332873000000000;0.0000299103861991000000000;-0.0000041305543233000000000;0.0000024078286650000000000;-0.0000000381319775000000000;0.0000165660111228000000000;0.0000204731898415000000000;0.0000221650311428000000000;0.0000209615680768000000000;0.0000159913361572000000000;0.0000188738951220000000000;0.0000168398023052000000000;0.0000012804663352000000000;0.0000232026261221000000000;0.0000027070722028000000000;0.0000136058105910000000000
5;ldhp*sdom;;2EST;;;-0.0000676230499211000000000;0.0000061757008072000000000;0.0000001469865568000000000;-0.0000081731908692000000000;0.0048379311164063000000000;0.0006293773887395000000000;0.0006622715807073000000000;0.0005150675760972000000000;0.0004561704874149000000000;0.0003599310673243000000000;0.0002635703564928000000000;-0.0000504901115342000000000;-0.0001048836471117000000000;-0.0002330705939946000000000;-0.0001449105629352000000000;-0.0001104893102742000000000;-0.0000803116699650000000000;0.0002158861931238000000000;-0.0000047119280145000000000;-0.0000048407997180000000000;-0.0001789797869592000000000;-0.0000901935191496000000000;0.0001096626468241000000000;-0.0001793001724912000000000;-0.0000965738256807000000000;-0.0000954364288372000000000;-0.0001018112114198000000000;-0.0001578916865198000000000;-0.0000001749321688000000000;0.0002300866767921000000000;0.0002231104246761000000000;0.0002090123419458000000000;0.0002646306408942000000000;0.0001686769389395000000000;0.0001908703997939000000000;0.0002590931720016000000000;-0.0000019445505851000000000;0.0000223552890208000000000;-0.0000119732190795000000000;0.0000069192397698000000000
6;ldhp*sdom;;3EST;;;0.0002872895792209000000000;-0.0000023164560525000000000;0.0000001007734564000000000;-0.0000010288574930000000000;0.0006293773887395000000000;0.0014356038877974000000000;0.0004262410635900000000000;0.0003874726125438000000000;0.0003137432487498000000000;0.0003175667116186000000000;0.0001859784239240000000000;0.0000446733724313000000000;0.0000584721245218000000000;0.0000010516442734000000000;-0.0000585107270384000000000;0.0000444204869090000000000;0.0000676727897346000000000;0.0001643358609103000000000;0.0000858726874681000000000;-0.0000022360590035000000000;0.0000131640166970000000000;0.0000600868974338000000000;0.0000489934728640000000000;0.0000282049450648000000000;0.0000514416272756000000000;0.0000546138414178000000000;0.0000488489408769000000000;-0.0000872696785394000000000;-0.0000004623187455000000000;-0.0000106288521473000000000;-0.0000038361460650000000000;-0.0000195448700933000000000;0.0000189964214550000000000;-0.0000205425847693000000000;-0.0000268679559275000000000;0.0000189054826270000000000;0.0000093454866421000000000;-0.0000051688991936000000000;-0.0000060899079611000000000;0.0000041471113721000000000
7;ldhp*sdom;;3OUEST;;;-0.0002078433755324000000000;-0.0000206354343235000000000;0.0000002355478968000000000;0.0000175674721344000000000;0.0006622715807073000000000;0.0004262410635900000000000;0.0008808638828773000000000;0.0003531222640267000000000;0.0003450141716488000000000;0.0002295467616022000000000;0.0002122993330243000000000;-0.0000291147195870000000000;0.0000349336559424000000000;-0.0000766579964840000000000;0.0000020654730825000000000;0.0000171453045586000000000;0.0000515683510924000000000;0.0001550549016972000000000;0.0001058715999244000000000;0.0000074829710911000000000;0.0000006729508795000000000;0.0000394748209509000000000;0.0000369700022573000000000;-0.0000264224990605000000000;-0.0001453166979803000000000;-0.0000002074981111000000000;0.0000355402402004000000000;-0.0001129997507678000000000;0.0000001279292708000000000;-0.0000158412406122000000000;-0.0000044788958448000000000;-0.0000180421504293000000000;0.0000436870070068000000000;-0.0000265688279424000000000;-0.0000250293769586000000000;0.0000479982659760000000000;0.0000158979356188000000000;-0.0000195769158521000000000;-0.0000008138575628000000000;0.0000029586637572000000000
8;ldhp*sdom;;4EST;;;0.0002578883108849000000000;0.0000012625512419000000000;-0.0000002257267347000000000;-0.0000017560281888000000000;0.0005150675760972000000000;0.0003874726125438000000000;0.0003531222640267000000000;0.0006043515687885000000000;0.0002618199717285000000000;0.0002857678085397000000000;0.0001642612713877000000000;0.0000537454626774000000000;0.0000190607367655000000000;-0.0000126419383684000000000;-0.0001384764648068000000000;-0.0000223520344834000000000;-0.0001446828335555000000000;0.0000890162737780000000000;0.0000226347788713000000000;-0.0001402876191246000000000;-0.0000315116244273000000000;-0.0000046779048731000000000;0.0000225717537908000000000;-0.0000518958935968000000000;-0.0000069255204956000000000;-0.0000700811608782000000000;-0.0000178908964943000000000;-0.0000672582808467000000000;-0.0000003940032845000000000;0.0000147650305339000000000;0.0000240519893780000000000;0.0000147805633270000000000;0.0000021835778831000000000;0.0000029590600744000000000;0.0000171822421199000000000;0.0000390850879680000000000;0.0000106752023294000000000;-0.0000140943391640000000000;-0.0000088021846625000000000;0.0000025016562674000000000
9;ldhp*sdom;;4OUEST;;;-0.0000880604418688000000000;-0.0000073814589148000000000;0.0000001527272177000000000;0.0000044365926931000000000;0.0004561704874149000000000;0.0003137432487498000000000;0.0003450141716488000000000;0.0002618199717285000000000;0.0003483528063163000000000;0.0001962658576947000000000;0.0001656436534080000000000;0.0000257808922644000000000;0.0000390977413649000000000;-0.0000357703381172000000000;0.0000288687636691000000000;0.0000179034548338000000000;0.0000473644260368000000000;0.0001195852858642000000000;0.0000648114976036000000000;0.0000216711674212000000000;0.0000217487430932000000000;0.0000395630644476000000000;0.0000326982576937000000000;-0.0000003598699803000000000;-0.0000053283777290000000000;0.0000254861822364000000000;0.0000248814890492000000000;-0.0000701073603760000000000;-0.0000000158949293000000000;-0.0000192434190795000000000;-0.0000224307348051000000000;-0.0000203106416252000000000;0.0000270839912345000000000;-0.0000301886140496000000000;-0.0000225016586775000000000;0.0000325486955081000000000;0.0000134601297495000000000;-0.0000041901652441000000000;0.0000000313752915000000000;0.0000011642098860000000000
10;ldhp*sdom;;5EST;;;0.0005634344670352000000000;0.0000056309768528000000000;-0.0000001853458334000000000;-0.0000054921319872000000000;0.0003599310673243000000000;0.0003175667116186000000000;0.0002295467616022000000000;0.0002857678085397000000000;0.0001962658576947000000000;0.0004653488056840000000000;0.0001217018546726000000000;0.0001162940815761000000000;0.0000585994448315000000000;0.0000158544273126000000000;0.0000149159567660000000000;-0.0000197205247372000000000;0.0000135622354282000000000;0.0001064460110245000000000;-0.0001388107017117000000000;-0.0000036515918559000000000;0.0000019272177304000000000;0.0000194525125204000000000;0.0000188324248360000000000;0.0000049712143551000000000;0.0000103315854077000000000;0.0000155851217771000000000;-0.0000015913922940000000000;-0.0000300473680759000000000;-0.0000007308023454000000000;-0.0000113953311615000000000;-0.0000006854807233000000000;-0.0000084788706185000000000;-0.0000652027839618000000000;-0.0000134942757742000000000;0.0000011800198908000000000;-0.0000110493126464000000000;0.0000076933405593000000000;-0.0000087413475005000000000;0.0000001842672033000000000;-0.0000012763953421000000000
11;ldhp*sdom;;5OUEST;;;-0.0001921121949875000000000;0.0000034126653887000000000;0.0000000291440190000000000;-0.0000026303778831000000000;0.0002635703564928000000000;0.0001859784239240000000000;0.0002122993330243000000000;0.0001642612713877000000000;0.0001656436534080000000000;0.0001217018546726000000000;0.0001898753300399000000000;0.0000389164847643000000000;0.0000108399733085000000000;0.0000138956983358000000000;0.0000062853083829000000000;-0.0000030588119016000000000;-0.0000054590789213000000000;0.0000648393802207000000000;0.0000312637752869000000000;0.0000098348668266000000000;0.0000254107126804000000000;0.0000191175291447000000000;0.0000214185410264000000000;-0.0000085246823296000000000;0.0000252896188126000000000;0.0000204754857285000000000;0.0000060914497374000000000;-0.0000391231808873000000000;0.0000001002817390000000000;-0.0000085684781316000000000;-0.0000174075532279000000000;-0.0000122537221762000000000;0.0000202828731518000000000;-0.0000235186077205000000000;-0.0000123076320275000000000;0.0000197118936180000000000;0.0000034401081644000000000;-0.0000020343584032000000000;0.0000005076894410000000000;0.0000018909433530000000000
12;ldhp*sdom;;6EST;;;0.0002981403293670000000000;0.0000063030827688000000000;-0.0000000409817221000000000;-0.0000038783934558000000000;-0.0000504901115342000000000;0.0000446733724313000000000;-0.0000291147195870000000000;0.0000537454626774000000000;0.0000257808922644000000000;0.0001162940815761000000000;0.0000389164847643000000000;0.0003065510311790000000000;0.0000109534221249000000000;0.0000012586051216000000000;0.0000071603670263000000000;0.0000003498962114000000000;-0.0000042399726167000000000;0.0000516495540130000000000;-0.0000770907425806000000000;0.0000008410138406000000000;-0.0000084454506868000000000;0.0000012939963120000000000;0.0000159577484280000000000;-0.0000728880004273000000000;-0.0000128670883461000000000;-0.0000023728660687000000000;-0.0000282186727220000000000;0.0000401119859538000000000;-0.0000004278855962000000000;-0.0000142181472551000000000;0.0000049047868824000000000;-0.0000038395444890000000000;0.0000097336212673000000000;0.0000097962264592000000000;0.0000049348989108000000000;0.0000274707782529000000000;0.0000088742949330000000000;-0.0000075973557546000000000;0.0000022385925538000000000;-0.0000003132095056000000000
14;ldhp*vp;;;ME1;;-0.0003147323644217000000000;0.0000072084069310000000000;-0.0000011804350943000000000;0.0000013491774169000000000;-0.0001048836471117000000000;0.0000584721245218000000000;0.0000349336559424000000000;0.0000190607367655000000000;0.0000390977413649000000000;0.0000585994448315000000000;0.0000108399733085000000000;0.0000109534221249000000000;0.0060816225593501000000000;0.0050822281757921000000000;0.0051566943204432000000000;0.0052796589258079000000000;0.0052084080098035000000000;0.0008979151264948000000000;0.0053449532033681000000000;0.0003642154824129000000000;0.0052893455974351000000000;0.0052971524960466000000000;0.0002551593108152000000000;0.0052716246725010000000000;0.0052590261300731000000000;0.0048642434902212000000000;0.0052936298074769000000000;0.0000032633777397000000000;0.0000000677815545000000000;-0.0050573994209751000000000;-0.0050579519751647000000000;-0.0050447183032740000000000;-0.0051532152452977000000000;-0.0050271550262581000000000;-0.0050307674694379000000000;-0.0052547582773031000000000;0.0000175752197822000000000;-0.0001400352330150000000000;-0.0000008863072745000000000;0.0000009036204716000000000
15;ldhp*vp;;;MJ2;;-0.0001685975285402000000000;-0.0000272781998379000000000;-0.0000001058149157000000000;0.0000257353046074000000000;-0.0002330705939946000000000;0.0000010516442734000000000;-0.0000766579964840000000000;-0.0000126419383684000000000;-0.0000357703381172000000000;0.0000158544273126000000000;0.0000138956983358000000000;0.0000012586051216000000000;0.0050822281757921000000000;0.0059727841271417000000000;0.0050099430375324000000000;0.0051036541411434000000000;0.0050309042231658000000000;0.0008370473570540000000000;0.0050741554877724000000000;0.0003635465025302000000000;0.0050873933863708000000000;0.0050943780831325000000000;0.0002323157840576000000000;0.0050899933197310000000000;0.0051699076551006000000000;0.0047027375881219000000000;0.0050966080846911000000000;-0.0000036702316627000000000;0.0000000243827477000000000;-0.0049006907847513000000000;-0.0048921851757689000000000;-0.0049062959575099000000000;-0.0048769368570850000000000;-0.0048625553417931000000000;-0.0048761850573371000000000;-0.0048890982623089000000000;0.0000028802205578000000000;-0.0001320428762340000000000;-0.0000014241137330000000000;-0.0000000066745848000000000
16;ldhp*vp;;;MS1;;-0.0001267049894848000000000;-0.0000071828500563000000000;-0.0000002384826049000000000;0.0000083971753243000000000;-0.0001449105629352000000000;-0.0000585107270384000000000;0.0000020654730825000000000;-0.0001384764648068000000000;0.0000288687636691000000000;0.0000149159567660000000000;0.0000062853083829000000000;0.0000071603670263000000000;0.0051566943204432000000000;0.0050099430375324000000000;0.0066003954390614000000000;0.0051835478821001000000000;0.0051849934153460000000000;0.0008690331429505000000000;0.0051604705568486000000000;0.0004420103804875000000000;0.0051618215961176000000000;0.0051699512268508000000000;0.0002322681792189000000000;0.0051863473484844000000000;0.0051792616203214000000000;0.0047901574799730000000000;0.0051751122977684000000000;-0.0000042383454058000000000;-0.0000000638383906000000000;-0.0049719228775994000000000;-0.0049735588071717000000000;-0.0049801500542529000000000;-0.0049426133758000000000000;-0.0049336023768370000000000;-0.0049414704892764000000000;-0.0049616410366342000000000;0.0000040992556360000000000;-0.0001349105300507000000000;-0.0000027620993211000000000;0.0000007229088628000000000
17;ldhp*vp;;;MS2;;-0.0001627854472687000000000;-0.0000194242863719000000000;-0.0000002133697724000000000;0.0000170599178136000000000;-0.0001104893102742000000000;0.0000444204869090000000000;0.0000171453045586000000000;-0.0000223520344834000000000;0.0000179034548338000000000;-0.0000197205247372000000000;-0.0000030588119016000000000;0.0000003498962114000000000;0.0052796589258079000000000;0.0051036541411434000000000;0.0051835478821001000000000;0.0055105698646772000000000;0.0052279574483966000000000;0.0008774135177878000000000;0.0053049560154909000000000;0.0003743824471691000000000;0.0052700863012397000000000;0.0052747816803141000000000;0.0002376986221176000000000;0.0052816863671631000000000;0.0052764815145208000000000;0.0048541813653235000000000;0.0052803894669275000000000;-0.0000032945851463000000000;-0.0000000084182282000000000;-0.0050641345598195000000000;-0.0050676297771215000000000;-0.0050736553316699000000000;-0.0050614804776521000000000;-0.0050301014545017000000000;-0.0050437296263892000000000;-0.0050647014746044000000000;0.0000079811773158000000000;-0.0001370177154935000000000;0.0000001788394914000000000;-0.0000002177297534000000000
18;ldhp*vp;;;MS6;;-0.0001921020626032000000000;-0.0000172603247261000000000;0.0000000915877963000000000;0.0000073704922566000000000;-0.0000803116699650000000000;0.0000676727897346000000000;0.0000515683510924000000000;-0.0001446828335555000000000;0.0000473644260368000000000;0.0000135622354282000000000;-0.0000054590789213000000000;-0.0000042399726167000000000;0.0052084080098035000000000;0.0050309042231658000000000;0.0051849934153460000000000;0.0052279574483966000000000;0.0070847424102499000000000;0.0008888893596547000000000;0.0052120370300005000000000;0.0004397460964223000000000;0.0052094031471834000000000;0.0052170181566189000000000;0.0002421550973074000000000;0.0052261976301662000000000;0.0052030913712890000000000;0.0048267250696897000000000;0.0052212088227051000000000;-0.0000096450535835000000000;0.0000000203732137000000000;-0.0050052258866713000000000;-0.0050114430164354000000000;-0.0050177275173950000000000;-0.0049930859882696000000000;-0.0049623582911486000000000;-0.0049757655035505000000000;-0.0049896328316599000000000;0.0000076293052641000000000;-0.0001349648810472000000000;-0.0000025741190192000000000;0.0000008050143946000000000
19;ldhp*vp;;;RB1;;-0.0002486902230959000000000;-0.0000183063147112000000000;0.0000002144394954000000000;0.0000205395952818000000000;0.0002158861931238000000000;0.0001643358609103000000000;0.0001550549016972000000000;0.0000890162737780000000000;0.0001195852858642000000000;0.0001064460110245000000000;0.0000648393802207000000000;0.0000516495540130000000000;0.0008979151264948000000000;0.0008370473570540000000000;0.0008690331429505000000000;0.0008774135177878000000000;0.0008888893596547000000000;0.0206221745425740000000000;0.0008679259510083000000000;0.0004289727495001000000000;0.0008940960501337000000000;0.0008925585966506000000000;0.0003226580817261000000000;0.0008750817704193000000000;0.0008542158412881000000000;0.0008415607745744000000000;0.0008818588572574000000000;-0.0000145462624608000000000;-0.0000000639814516000000000;-0.0006126333968823000000000;-0.0006097925275826000000000;-0.0006104780582718000000000;-0.0005962075507283000000000;-0.0006083964840036000000000;-0.0006132316093789000000000;-0.0005875508216567000000000;-0.0000206472492549000000000;-0.0001587199954342000000000;0.0000035740025656000000000;0.0000019868269485000000000
20;ldhp*vp;;;RB5;;-0.0003898549964742000000000;-0.0000226750354942000000000;-0.0000000629460864000000000;0.0000326651375054000000000;-0.0000047119280145000000000;0.0000858726874681000000000;0.0001058715999244000000000;0.0000226347788713000000000;0.0000648114976036000000000;-0.0001388107017117000000000;0.0000312637752869000000000;-0.0000770907425806000000000;0.0053449532033681000000000;0.0050741554877724000000000;0.0051604705568486000000000;0.0053049560154909000000000;0.0052120370300005000000000;0.0008679259510083000000000;0.0105588198521853000000000;0.0003677641055711000000000;0.0052441419589041000000000;0.0052668048910665000000000;0.0002346134091385000000000;0.0052557717267103000000000;0.0052570323241683000000000;0.0048595683553150000000000;0.0052885142213545000000000;-0.0000331982788326000000000;0.0000002434469087000000000;-0.0050457864662420000000000;-0.0050556530079183000000000;-0.0050502125304778000000000;-0.0051545527261962000000000;-0.0050262121764294000000000;-0.0050371029069382000000000;-0.0051286500920894000000000;0.0000049482388259000000000;-0.0001350005521692000000000;0.0000035690765949000000000;-0.0000096109682434000000000
